page_name,page_description,page_link,cloud_img
Trabalenguas,"Mejora tus capacidades comunicativas jugando con la rima, la entonación y la pronunciación. Te divertirás desarrollando el lenguaje con nuestros trabalenguas en inglés y en español.",https://ludotecaenlanube.com/trabalenguas/,https://ludotecaenlanube.com/img-nubes/nube-trabalenguas.png
Acertijos,"Potencia el pensamiento divergente y la creatividad con nuestros acertijos en inglés y en español como adivinanzas, puzzles de emoticonos y más.",https://ludotecaenlanube.com/acertijos/,https://ludotecaenlanube.com/img-nubes/nube-acertijos.png
Chistes,Aprende con humor potenciando el lenguaje y desarrollando capacidades comunicativas con nuestros chistes en inglés y en español.,https://ludotecaenlanube.com/chistes/,https://ludotecaenlanube.com/img-nubes/nube-chistes.png
Logica,Desarrolla el pensamiento lógico resolviendo nuestros puzzles con temáticas de ciencias sociales y ciencias naturales.,https://ludotecaenlanube.com/logica/,https://ludotecaenlanube.com/img-nubes/nube-logic.png
Geografia,Aprende geografía con nuestros juegos interactivos.,https://ludotecaenlanube.com/geografia/,https://ludotecaenlanube.com/img-nubes/nube-geografia.png
Matematicas,Desarrolla el pensamiento matemático con nuesrtos juegos interactivos.,https://ludotecaenlanube.com/matematicas/,https://ludotecaenlanube.com/img-nubes/nube-matematicas.png
Https://Dmichaelthomasbenn.Wixsite.Com/Origam,"Aprende conceptos matemáticos como la simetría, ángulos y figuras geométricas además de aptitudes como la perseverancia con el arte del Origami.",https://ludotecaenlanube.com/https://dmichaelthomasbenn.wixsite.com/origami,https://ludotecaenlanube.com/img-nubes/nube-origami.png
Malabares,"Aprende juegos y rutinas sencillas de malabares que mejoran la coordinación, la psicomotricidad y la atención.",https://ludotecaenlanube.com/malabares/,https://ludotecaenlanube.com/img-nubes/nube-malabares.png
Https://Didacticamagica.Wordpress.Com,"Asombra a tus amigos con sencillos juegos de magia. ¡Aprender a hacer magia ayuda con tu comunicación, el habla en público y la memoria!",https://ludotecaenlanube.com/https://didacticamagica.wordpress.com/,https://ludotecaenlanube.com/img-nubes/nube-magia.png
Juegos-De-Mesa,Aprende a pensar con estrategia e identificar patrones disfrutando de nuestros juegos de mesa en formato digital.,https://ludotecaenlanube.com/juegos-de-mesa/,https://ludotecaenlanube.com/img-nubes/nube-juegos-de-mesa.png
Https://Www.Vindrogames.Com,Visita nuestros amigos de vindroGames donde encontrarás juegos diseñados para enseñar diferentes contenidos y conceptos. Con ellos aprenderás un montón de cosas.,https://ludotecaenlanube.com/https://www.vindrogames.com/,https://ludotecaenlanube.com/img-nubes/nube-vindrogames.png
Arte,"Aprende con sencillos juegos y ejercicios a dibujar, hacer música, bailar y mucho más. ¡El arte ayuda a tu creatividad e imaginación!",https://ludotecaenlanube.com/arte/,https://ludotecaenlanube.com/img-nubes/nube-arte.png
Google,Aprende a manejar las herramientas de google en profundidad con nuestros juegos y retos inspirados en los Escape Rooms. ¡Descubre secretos poco conocidos!,https://ludotecaenlanube.com/google/,https://ludotecaenlanube.com/img-nubes/nube-google.png
Microsoft,Aprende a manejar las herramientas de google en profundidad con nuestros juegos y retos qinspirados en los Escape Rooms. ¡Descubre secretos poco conocidos!,https://ludotecaenlanube.com/microsoft/,https://ludotecaenlanube.com/img-nubes/nube-microsoft.png
Mecanografia,Aprende a manejar el teclado de un ordenador y escribir con facilidad con nuestros juegos de mecanografía,https://ludotecaenlanube.com/mecanografia/,https://ludotecaenlanube.com/img-nubes/nube-mecanografia.png
